Workbook Project Name,Workbook Name,Datasource Project Name (underlying),Datasource Name
NEO - CSA,CSA31 - NEO SAOC Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA31 - NEO SAOC Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA31a - NEO SAOC Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA31a - NEO SAOC Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA31a - NEO SAOC Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA32 - Tech League Ladder,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA32 - Tech League Ladder,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (Appt)
NEO - CSA,CSA33 - Search Incident & WO History,NEO - Data Capability & Governance - Data Sources,CSA A05A - Aged and NI with Worklog Notes
NEO - CSA,CSA33 - Search Incident & WO History,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA33 - Search Incident & WO History,NEO - Data Capability & Governance - Data Sources,CSA A12H - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA33 - Search Incident & WO History,NEO - Data Capability & Governance - Data Sources,FLD A60 - Case - Ord - Inc - Apt - Wor - Loc - Pri - Service Request
NEO - CSA,CSA35 - FTTN Speed Assurance_Speed Degradation Report,NEO - Data Capability & Governance - Data Sources,CSA A11S - Incident
NEO - CSA,CSA35 - FTTN Speed Assurance_Speed Degradation Report,NEO - Data Capability & Governance - Data Sources,CSA A14S - Inc - Wor
NEO - CSA,CSA36 - E36 (OTD) Root Cause Analysis,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,"CSA37 - Resolution Rejected, Accepted, and Declined",NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,"CSA37 - Resolution Rejected, Accepted, and Declined",NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA39 - Work Order PCR Descriptions,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA39 - Work Order PCR Descriptions,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA39 - Work Order PCR Descriptions,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA39 - Work Order PCR Descriptions,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA41 - FW OTD Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA41 - FW OTD Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA41 - FW OTD Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A12r - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA41 - FW OTD Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA41 - FW OTD Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A31r - Incident CRQ
NEO - CSA,CSA41a - FW Real Time Open Incidents Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA42b - LTSS Real Time Open Incidents Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA44 - HFC OTD Real Time CS&A Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA44 - HFC OTD Real Time CS&A Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday (2)
NEO - CSA,CSA45 - WBA SLA(E4) Root Cause Analysis,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA48 - FW MTM SPOG,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA48 - FW MTM SPOG,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA48 - FW MTM SPOG,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (2)
NEO - CSA,CSA48 - FW MTM SPOG,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA48 - FW MTM SPOG,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident (2)
NEO - CSA,CSA48 - FW MTM SPOG,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA48 - FW MTM SPOG,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (2)
NEO - CSA,CSA48 - FW MTM SPOG,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (3)
NEO - CSA,CSA48 - FW MTM SPOG,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (5)
NEO - CSA,CSA50 - Open Incident Analysis,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA50 - Open Incident Analysis,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident Closed Count
NEO - CSA,CSA50 - Open Incident Analysis,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident Open Count
NEO - CSA,CSA50 - Open Incident Analysis,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (with Exclusions) (2)
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A11S - Incident
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A12r - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (2)
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A20b - MTM 3.0  Summary
NEO - CSA,CSA50p - Priority Assist Assurance Intraday,NEO - Data Capability & Governance - Data Sources,CSA A20b - MTM 3.0  Summary (2)
NEO - CSA,CSA51 - Aged Incidents,NEO - Data Capability & Governance - Data Sources,CSA A05A - Aged and NI with Worklog Notes
NEO - CSA,CSA51 - Aged Incidents,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA51 - Aged Incidents,NEO - Data Capability & Governance - Data Sources,CSA A05m - Aged Incidents Extract
NEO - CSA,CSA51 - Aged Incidents,NEO - Data Capability & Governance - Data Sources,CSA A05r - Aged Incident
NEO - CSA,CSA51 - Aged Incidents,NEO - Data Capability & Governance - Data Sources,CSA A11S - Incident
NEO - CSA,CSA51 - Aged Incidents_Including Closed,NEO - Data Capability & Governance - Data Sources,CSA A05 - Aged Incidents
NEO - CSA,CSA51a - Aged In and Out Model,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA51b - Under 7 Days Allocation/Aged Robot Allocation,NEO - Data Capability & Governance - Data Sources,CSA A05 - Aged Incidents
NEO - CSA,CSA51b - Under 7 Days Allocation/Aged Robot Allocation,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA51H - Aged Incidents with Snapshot History,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot (30+ chart)
NEO - CSA,CSA51H - Aged Incidents with Snapshot History,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA51H - Aged Incidents with Snapshot History,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History (1week offset)
NEO - CSA,CSA51H - Aged Incidents with Snapshot History,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History (2)
NEO - CSA,CSA51H - Aged Incidents with Snapshot History,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History (Loss of Service RSP)
NEO - CSA,CSA53 - Aged Incidents Reporting Workbook,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA57 - RSP Assurance L3 Escalations Main Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11b - Incidents and Cases
NEO - CSA,CSA57 - RSP Assurance L3 Escalations Main Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11b - Incidents and Cases (2)
NEO - CSA,CSA58 - FTTN Exceed Metrics SPOG,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA58 - FTTN Exceed Metrics SPOG,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (CLOSED FILTERED)
NEO - CSA,CSA58 - FTTN Exceed Metrics SPOG,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (REPORTED FILTERED)
NEO - CSA,CSA58 - FTTN Exceed Metrics SPOG,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA58 - FTTN Exceed Metrics SPOG,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident (RXT FILTERING)
NEO - CSA,CSA58 - FTTN Exceed Metrics SPOG,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA58 - FTTN Exceed Metrics SPOG,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (CLOSED FILTERED)
NEO - CSA,CSA58 - FTTN Exceed Metrics SPOG,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (E36 Filtered)
NEO - CSA,CSA61 - Telstra B2B Performance Analysis,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA61 - Telstra B2B Performance Analysis,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA61 - Telstra B2B Performance Analysis,NEO - Data Capability & Governance - Data Sources,CSA A26a - Incident Repeats
NEO - CSA,CSA65 - Exceed RSP L3 Report,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA65 - Exceed RSP L3 Report,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA65 - Exceed RSP L3 Report,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA65 - Exceed RSP L3 Report,NEO - Data Capability & Governance - Data Sources,CSA A26a - Incident Repeats
NEO - CSA,CSA65a - RSP Reported Incidents,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA65a - RSP Reported Incidents,NEO - Data Capability & Governance - Data Sources,CSA A26a - Incident Repeats
NEO - CSA,CSA66 - RSP Performance Report,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident - Riley's edits for Interaction metrics
NEO - CSA,CSA66 - RSP Performance Report,NEO - Data Capability & Governance - Data Sources,CSA A26am - Incident Repeats
NEO - CSA,CSA66a - RSP Performance Reported Summary,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident - Riley's edits for Interaction metrics
NEO - CSA,CSA66a - RSP Performance Reported Summary,NEO - Data Capability & Governance - Data Sources,CSA A26a - Incident Repeats
NEO - CSA,CSA67 - Telstra Continuity Report,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (Open)
NEO - CSA,CSA67 - Telstra Continuity Report,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (Reported)
